0;pingsweep;dmz4;dmz4;True;remove_decoy;;;False;0;[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
1;portscan;dmz4;dmz4;True;nothing;;a8d801c0b667434081253242130f29bd;True;0.0;[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
2;discovery;dmz4;dmz4;True;decoy0;dmz_subnet;a440b9ea1af740d79daa9d2c8cb1f1e7;True;-22.0;[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
3;portscan;dmz4;dmz3;True;decoy0;dmz_subnet;1f3f104b4de44057a812272794cbd44b;True;-24.0;[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
4;portscan;dmz4;dmz1;True;nothing;;2f7851bbee7f4e2da51630c980916ee4;True;-4.0;[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
5;portscan;dmz4;dmz2;True;decoy0;dmz_subnet;bd8960dd20714d9f986493ef5bc933f0;True;-26.0;[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
6;lateral-movement;dmz4;dmz3;True;decoy0;user_subnet1;e07979ded2e7493b9a92b76e45f5aa5e;True;-28.0;[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
7;discovery;dmz3;dmz3;True;remove_decoy;;;False;-8.0;[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0]
8;portscan;dmz3;dmz0;True;decoy0;dmz_subnet;21ddc24d8f114438b2d726b37c92ef6b;True;-30.0;[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0]
9;lateral-movement;dmz3;dmz2;True;decoy0;dmz_subnet;94c1f19939274dc5ad604fe60092117f;True;-32.0;[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0]
10;discovery;dmz2;dmz2;True;decoy0;user_subnet1;245416404b2341328ffb73e9f8278983;True;-34.0;[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1]
